"projectId","display","codingType","tcSize"
"5845","Grass Allergy","condition","1710253"
"2521","Hydranencephaly","condition","2884"
"6362","Acute Pain","condition","1098215"
"2510","Human Granulocytic Ehrlichiosis","condition","2680"
"5165","Thiopurine S-Methyltransferase Deficiency","condition","6827"
"150","Agyria Pachygyria Polymicrogyria","condition","2322"
"3828","Nasal Polyps","condition","121092"
"2539","Hygroma Cervical","condition","20469"
"4245","Pili Torti","condition","975"
"2763","Infantile-Onset Spinocerebellar Ataxia (IOSCA)","condition","7891"
"4518","Pure Red Cell Aplasia","condition","33058"
"2389","Hemoglobin C Disease","condition","17455"
"6032","Otitis Media with Effusion","condition","37700"
"3974","Ornithine Transcarbamylase Deficiency","condition","5129"
"1007","Chromosome 4q Deletion","condition","314"
"1459","Cyclic Vomiting Syndrome","condition","47859"
"555","Blepharophimosis","condition","4683"
"5865","Herniated Disk","condition","872420"
"4292","Polycystic Kidney Disease","condition","149988"
"6510","15q11.2 Microdeletion","condition","1316"
"4183","Peripheral Neuropathy","condition","1585881"
"153","Aicardi Syndrome","condition","2161"
"5489","Watermelon Stomach","condition","41137"
"6596","Chronic Graft Versus Host Disease (cGvHD)","condition","23474"
"5738","Dehydration","condition","1420176"
"1518","Hyperphenylalaninemia Due to Dehydratase Deficiency","condition","6606"
"3176","Malignant Mixed Mullerian Tumor","condition","1122310"
"1285","Congenital Heart Block","condition","5453"
"6330","Dravet Syndrome","condition","128349"
"5691","Cavernous Sinus Thrombosis","condition","14485"
"4363","Precocious Puberty","condition","41753"
"3369","Hypermethioninemia","condition","3444"
"5459","Neurofibromatosis Type 1 (NF1)","condition","83838"
"4454","Pseudohypoaldosteronism Type 1","condition","12349"
"2316","Benign Chronic Pemphigus","condition","33825"
"4121","Paroxysmal Ventricular Fibrillation","condition","81536"
"1466","Gorham's Disease","condition","11249"
"5959","Cryptococcal Meningitis","condition","31526"
"5329","Ulcerative Colitis","condition","802828"
"5515","Williams Syndrome","condition","19204"
"4403","Proctitis","condition","196982"
"5940","Lymphatic Obstruction","condition","525110"
"1701","Dystrophic Epidermolysis Bullosa","condition","13272"
"304","Annular Pancreas","condition","3431"
"1416","Crigler-Najjar Syndrome","condition","3804"
"5681","Bursitis of the Heel","condition","11065"
"4308","Polyhydramnios","condition","15922"
"851","Cerebelloparenchymal Disorder 3","condition","1534"
"4111","Parathyroid Cancer","condition","114934"
"1163","Systemic Capillary Leak Syndrome","condition","14564"
"5593","Zollinger-Ellison Syndrome","condition","16972"
"627","Branchio-Oculo-Facial Syndrome (BOFS)","condition","2854"
"1211","Cold Urticaria","condition","8677"
"5773","Endometrial Cancer","condition","824185"
"6369","VEXAS Syndrome","condition","7983"
"1380","Craniodiaphyseal Dysplasia","condition","1736"
"1467","Cystic Fibrosis","condition","458585"
"4720","SAPHO Syndrome","condition","18569"
"1672","Dysfibrinogenemia","condition","16509"
"4306","Preaxial Polydactyly Type 1","condition","592"
"565","Bloom Syndrome","condition","7751"
"861","Sotos Syndrome","condition","14141"
"2012","Feingold Syndrome","condition","42046"
"2931","Lactate Dehydrogenase Deficiency","condition","4500"
"2754","Epilepsy in Children","condition","246333"
"120","Adrenal Gland Adenoma","condition","46464"
"3487","Mitral Valve Regurgitation","condition","1195297"
"2109","Frontonasal Dysplasia","condition","2134"
"6335","Acinic Cell Carcinoma of Salivary Glands","condition","146185"
"5715","Comedones","condition","48757"
"63","Hypertrichosis-Acromegaloid Facial Appearance Syndrome","condition","84137"
"5491","Weaver Syndrome","condition","1585"
"4742","Schinzel-Giedion Syndrome","condition","1890"
"6241","Undescended Testicle","condition","49947"
"4234","Frontotemporal Dementia","condition","104096"
"891","Charcot-Marie-Tooth Disease","condition","67378"
"522","Beta-Mannosidosis","condition","1100"
"1305","Congenital Mitral Stenosis","condition","3189"
"6479","Atrial Tachycardia","condition","738251"
"433","Atherosclerosis","condition","9485056"
"2981","Uterine Fibroids","condition","398973"
"3372","Homocystinuria due to MTHFR Deficiency","condition","8896"
"4395","Primary Progressive Aphasia","condition","28555"
"4431","Protein C Deficiency","condition","94511"
"1905","Familial Mixed Cryoglobulinemia","condition","7005"
"1485","Dandy-Walker Syndrome","condition","8466"
"4892","Spastic Paraparesis","condition","21353"
"5374","Hives","condition","482710"
"1134","Chronic Erosive Gastritis","condition","1583634"
"6620","Thrombectomy","procedure","152056"
"5788","Eschar","condition","45432"
"3047","Multiple Symmetric Lipomatosis","condition","9326"
"6123","Retinal Vein Occlusion","condition","222530"
"2864","Keloids","condition","73150"
"6168","Slipped Capital Femoral Epiphysis","condition","9005"
"6414","Foot Drop","condition","92470"
"4394","Primary Orthostatic Tremor","condition","41834"
"5921","Leydig Cell Testicular Tumor","condition","19596"
"6354","Atrial Septal Defect (ASD)","condition","183051"
"5221","TORCH Syndrome","condition","1043"
"5826","Ganglioneuroblastoma","condition","114411"
"2329","Hand-Foot-Genital Syndrome","condition","302"
"2243","Glucose-Galactose Malabsorption Deficiency","condition","17986"
"2098","Freeman-Sheldon Syndrome","condition","2183"
"5713","CMV Retinitis","condition","39189"
"5280","Triosephosphate Isomerase Deficiency","condition","469"
"3273","Meniere Disease","condition","94419"
"3654","Myoglobinuria Recurrent","condition","11943"
"1147","Chronic Recurrent Multifocal Osteomyelitis","condition","36824"
"5861","Hemorrhoids","condition","751387"
"5794","Exogenous Cushing's syndrome","condition","15544"
"1900","Esophageal Cancer","condition","521769"
"3647","Myoclonic Epilepsy","condition","165314"
"5759","Dysgraphia","condition","147220"
"6172","Spasmus Nutans","condition","34464"
"3808","Nocardiosis","condition","42640"
"5149","Tethered Cord Syndrome","condition","18499"
"974","Choroideremia","condition","5388"
"5918","Laryngeal Nerve Damage","condition","81909"
"1355","Corpus Callosum Agenesis","condition","17586"
"3051","Lissencephaly 2","condition","1690"
"6169","Small Bowel Bacterial Overgrowth","condition","95110"
"4262","Plasmacytoma","condition","77343"
"6263","Venous Insufficiency","condition","886319"
"2956","Laryngocele","condition","3159"
"6016","Obesity in Children","condition","9242685"
"3108","Lymphocytic Infiltrate of Jessner","condition","7904"
"1152","Eosinophilic Granulomatosis with Polyangiitis (EGPA, Churg-Strauss Syndrome)","condition","24838"
"1313","Congenital Femoral Deficiency","condition","985"
"2338","Harding Ataxia","condition","8024"
"885","Chandler's Syndrome","condition","1630"
"6385","Gastrectomy","procedure","1900158"
"964","Chordoma","condition","42970"
"5692","Cellulitis","condition","12740192"
"4499","Chronic Obstructive Pulmonary Disease (COPD)","condition","9493981"
"307","Anonychia Congenita","condition","969"
"5640","Asthma in Children","condition","1373253"
"2009","Riboflavin Transporter Deficiency Neuronopathy","condition","6846"
"4242","Pignata Guarino Syndrome","condition","251"
"114","Musculocontractural Ehlers-Danlos Syndrome (mcEDS)","condition","11221"
"2868","Interstitial Keratitis","condition","653541"
"5682","Candida Infection of the Skin","condition","148078"
"6487","Paroxysmal Supraventricular Tachycardia (PSVT)","condition","850661"
"2239","Glucocorticoid Resistance","condition","26894"
"6191","Subareolar Abscess","condition","46601"
"3469","Miller-Fisher Syndrome","condition","44097"
"2725","Adolescent Idiopathic Scoliosis","condition","90383"
"6593","Microvascular Decompression","procedure","12470"
"1530","Dengue Fever","condition","166383"
"3215","L1 Syndrome","condition","10778"
"5670","Brachial Plexopathy","condition","51637"
"6203","Syndrome of Inappropriate Antidiuretic Hormone Secretion (SIADH)","condition","157119"
"5798","Female Pattern Baldness","condition","15102"
"2212","Glanzmann Thrombasthenia","condition","19572"
"1826","Epidermolysis Bullosa","condition","42644"
"4857","Sitosterolemia","condition","2521475"
"4464","Pseudopelade of Brocq","condition","393"
"1273","Congenital Contractures","condition","19349"
"4616","Restless Legs Syndrome","condition","279740"
"5793","Ethmoiditis","condition","930351"
"5274","Trigeminal Neuralgia","condition","229686"
"3675","Fibrodysplasia Ossificans Progressiva","condition","15026"
"5685","Carbuncle","condition","2560594"
"5750","Diskitis","condition","94129"
"5146","Teratoma of the Mediastinum","condition","152392"
"741","Campylobacter Infection","condition","107261"
"5283","Triple X Syndrome","condition","1482"
"5580","Yellow Nail Syndrome","condition","2199"
"495","Becker's Nevus","condition","1303"
"5699","Cervicitis","condition","38853"
"5293","Trisomy 3 Mosaicism","condition","1602"
"4939","Spinocerebellar Ataxia Type 13","condition","2366"
"3","Aase Syndrome","condition","14776"
"4249","Pitt-Hopkins Syndrome","condition","3145"
"6388","Laryngectomy","procedure","68921"
"5753","Distal Median Nerve Dysfunction","condition","28573"
"102","Acute Megakaryoblastic Leukemia","condition","11441"
"2450","Spastic Paraplegia Type 7","condition","31009"
"5687","Cardiac Tamponade","condition","52291"
"6397","Patent Foramen Ovale Repair","procedure","19252"
"5719","Concussion","condition","682669"
"2413","Hepatitis B","condition","624380"
"1217","Coloboma","condition","16482"
"6163","Single Palmar Crease","condition","30131"
"6094","Premature Infant","condition","432398"
"4247","Pinguecula","condition","14876"
"1203","Coenzyme Q Cytochrome C Reductase Deficiency","condition","3800"
"6395","Synovectomy","procedure","94481"
"1860","Epilepsy with Myoclonic-Atonic Seizures","condition","178864"
"1092","Chromosome 15q Deletion","condition","186"
"4519","Hyaline Fibromatosis Syndrome","condition","5188"
"4185","Bilateral Perisylvian Polymicrogyria","condition","2108"
"6138","Salivary Gland Tumors","condition","263328"
"6180","Stable Angina","condition","283244"
"5800","Femoral Nerve Dysfunction","condition","38070"
"6537","Tubal Ligation","procedure","20504"
"6022","Orbital Pseudotumor","condition","7242"
"1290","Congenital Hepatic Fibrosis","condition","33519"
"5465","Vulvovaginitis","condition","711906"
"3484","Mitochondrial Trifunctional Protein Deficiency","condition","3560"
"5998","Neonatal Conjunctivitis","condition","7877"
"3563","Multiple Pterygium Syndrome","condition","2631"
"6433","Nontuberculous Mycobacterial Lung Disease","condition","80680"
"1960","Factor 13 Deficiency","condition","20046"
"1143","Chronic Myelomonocytic Leukemia (CMML)","condition","63072"
"2785","Internal Carotid Agenesis","condition","2114"
"4741","Schindler Disease","condition","375"
"1255","Congenital Afibrinogenemia","condition","28074"
"6357","Erectile Dysfunction (ED)","condition","153193"
"6338","Diverticulitis","condition","2738238"
"3519","Mucolipidosis 3","condition","10290"
"4679","Mayer-Rokitansky-Kuster-Hauser Syndrome","condition","3110"
"1458","Cyclic Neutropenia","condition","9022"
"527","Bicuspid Aortic Valve","condition","80885"
"5863","Hepatic Ischemia","condition","29128"
"3685","N-Acetylglutamate Synthase Deficiency","condition","29298"
"6149","Scrotal Masses","condition","127063"
"6254","Vaginal Cancer","condition","65841"
"1969","Familial Cold Autoinflammatory Syndrome","condition","7352"
"6034","Ovarian Hyperstimulation Syndrome","condition","26113"
"1135","Chronic Fatigue Syndrome","condition","56568"
"4071","Pancreatic Adenoma","condition","21636"
"4309","Polymicrogyria","condition","6028"
"5913","Kuru","condition","4128"
"1119","Chromosome 20 Trisomy","condition","1814"
"1011","Ring Chromosome 4","condition","735"
"17","Abetalipoproteinemia","condition","32110"
"2907","Knobloch Syndrome","condition","664"
"3495","Moebius Syndrome","condition","24050"
"119","Adenoid Cystic Carcinoma","condition","99580"
"2346","Headache","condition","2906380"
"6351","Eosinophilic Esophagitis","condition","55736"
"4276","Pneumonia","condition","9159757"
"2421","Hepatoblastoma","condition","25702"
"1917","Exfoliative Dermatitis","condition","18268"
"6513","Monkeypox","condition","22744"
"6109","Pyogenic Granuloma","condition","60158"
"6260","Vascular Dementia","condition","418715"
"771","Cardiomyopathy","condition","2495005"
"2908","Familial Partial Lipodystrophy","condition","8004"
"6266","Visceral Larva Migrans","condition","4547"
"5467","Waardenburg Syndrome","condition","7718"
"2466","X-Linked Visceral Heterotaxy 1","condition","1368"
"5263","Multiple Familial Trichoepithelioma","condition","130060"
"1032","Chromosome 7p Duplication","condition","314"
"6341","Klinefelter Syndrome","condition","27768"
