"id","score","mf_providers_npi","mf_conditions_projectId"
"2209681","6.2934136","1992017867","6249"
"1576677","8.345471","1255340329","6457"
"6983346","7.5151095","1871565366","4276"
"6266281","5.0081825","1184621997","6240"
"4330281","5.8954954","1255530853","6499"
"1451153","13.888506","1760539142","5992"
"5185917","7.769784","1184812380","3268"
"7247026","6.295096","1033272547","4460"
"805162","9.97382","1508807751","1324"
"5441661","6.6929135","1659366904","3911"
"3884322","19.599974","1699725549","2732"
"4076373","28.543152","1841308533","4276"
"9132434","6.4298983","1326018615","2735"
"448529","15.72883","1376643361","5464"
"6917615","28.617826","1225118748","933"
"1489811","5.361876","1255597985","6337"
"6801988","28.600698","1184695918","3220"
"5180607","8.154335","1669442505","5634"
"3635129","7.466515","1700808862","5896"
"372118","7.0285735","1144222340","425"
"1388079","12.0401325","1154334670","5682"
"299738","17.740019","1811979529","3549"
"5549021","7.413216","1548476435","6457"
"3656549","31.78626","1134115884","4931"
"3536460","7.549183","1780990382","2157"
"4121862","21.599573","1346220282","6125"
"3383678","39.795918","1720016850","1570"
"2514584","18.228392","1942246681","5865"
"6853355","41.57293","1245348390","6373"
"7889165","9.226733","1336131770","5992"
"8522767","10.089443","1174520688","6248"
"4215461","5.633803","1497945596","4878"
"6220789","12.686969","1750353256","2157"
"374259","8.2796335","1861562746","5668"
"376152","21.130764","1770587057","6016"
"7057965","5.7976756","1205884426","1148"
"7313146","5.1460075","1255359840","3991"
"5154545","28.195133","1023088713","1979"
"4612510","10.005785","1700815131","6212"
"8552442","20.040478","1235116443","4154"
"7241814","16.923077","1699742791","2459"
"5478517","11.163861","1801058383","6016"
"5581705","8.927818","1518926484","2587"
"2204087","5.5494766","1497850945","6001"
"9875272","67.46129","1326087818","4499"
"2248500","9.120514","1831125749","6252"
"6861022","9.288721","1619264959","5076"
"4076857","21.29473","1548268741","6457"
"67992","18.33379","1407974991","930"
"191626","9.47219","1891788436","5030"
"6935392","8.433735","1629065156","4829"
"2772432","12.323747","1760581888","5948"
"3165122","14.767794","1528398682","5992"
"2014103","9.641744","1013901289","6232"
"1675538","6.490832","1710170857","337"
"7960737","11.445848","1164420741","1903"
"6280053","47.91612","1629141221","1970"
"3868040","19.917955","1295840379","1979"
"4395439","26.18172","1023093507","448"
"5599021","5.5430074","1275514390","5939"
"5473692","8.149985","1730159187","6572"
"9116731","13.319402","1972568186","5869"
"149431","9.929752","1588924096","6248"
"6512750","12.688047","1497752240","1970"
"4810522","42.55136","1528262698","3820"
"932400","13.021508","1528445202","6265"
"6904045","6.818182","1285836189","6227"
"4201306","10.822356","1700975042","1878"
"9457138","21.910704","1043506900","6031"
"7306698","34.36933","1194755504","4746"
"5860169","12.23757","1790834638","581"
"650967","23.56904","1255384269","5640"
"9610097","8.870303","1841328697","5939"
"7685530","13.980229","1508806357","2454"
"5185828","5.4546237","1750372892","4313"
"4648164","6.033451","1851561658","5811"
"5534341","8.206107","1700883659","5978"
"5143969","16.993237","1871534933","5189"
"436462","19.193163","1790049799","6628"
"9037284","10.887311","1659394153","6282"
"3653549","16.051054","1699765529","4581"
"9605308","13.219101","1215947213","2702"
"3516136","44.7245","1497851042","845"
"9731460","19.191687","1003803701","1903"
"4226503","7.90744","1437589009","835"
"1167115","8.0745945","1851468466","4588"
"3527064","5.190948","1982802419","6219"
"8542065","7.776932","1497841431","5443"
"9758801","14.760039","1760593099","6322"
"8312977","23.113853","1538435953","6353"
"9734339","14.156076","1841277787","2148"
"4624627","7.644233","1922055417","5828"
"6945539","29.055948","1699020818","1148"
"6566880","7.00426","1225019169","3003"
"1614725","16.604963","1063494748","2587"
"8332490","6.2578325","1104113562","5932"
"2019605","28.438143","1881631919","6029"
"8899465","5.408182","1114909751","5778"
"3736818","16.295969","1619961349","2587"
"6658440","8.86534","1124174198","2735"
"7305479","14.016244","1639494651","5645"
"3841844","21.269487","1619972874","643"
"9711622","5.4188213","1790908663","3669"
"5739613","20.31299","1437228319","6265"
"6072611","35.32223","1275859704","1259"
"700205","9.2415285","1043324098","1578"
"4982637","6.8009768","1750636866","6429"
"1343949","5.8523912","1336172444","6321"
"8629244","6.4453125","1801053541","6105"
"2604717","12.23757","1518962968","2072"
"4526982","24.581053","1689603151","5778"
"6246812","7.712525","1467681544","6001"
"7222790","38.334393","1629005996","5704"
"6608642","11.48058","1285607705","4499"
"4518206","26.688433","1679754956","5830"
"9653103","13.798333","1437311180","5758"
"3495831","15.192397","1538396411","1650"
"1210683","8.408048","1982022125","5685"
"8542943","5.085956","1386634749","6252"
"3445405","8.902439","1629052790","6539"
"1736984","8.13551","1780790584","5265"
