"type_1_npi","life_science_firm_name","product_name","nature_of_payment","year","amount"
"1023124922","JANSSEN PHARMACEUTICALS, INC","INVOKANA","Food and Beverage","2017","75.799995"
"1811345093","SUN PHARMACEUTICAL INDUSTRIES INC.","","Education","2023","99.99"
"1851784938","BOSTON SCIENTIFIC CORPORATION","ICEFX","Food and Beverage","2021","14.36"
"1720096639","GLAXOSMITHKLINE, LLC.","","Education","2017","14.11"
"1154379188","AMGEN INC.","OTEZLA","Food and Beverage","2020","348.49"
"1669644563","BOEHRINGER INGELHEIM PHARMACEUTICALS, INC.","SPIRIVA RESPIMAT","Food and Beverage","2019","16.42"
"1124002845","BLUE EARTH DIAGNOSTICS LIMITED","AXUMIN","Food and Beverage","2018","89.69"
"1174752448","SANOFI PASTEUR INC.","FLUBLOK QUADRIVALENT","Food and Beverage","2019","16.28"
"1033386131","MEDICEM INC.","DILAPAN-S","Food and Beverage","2022","18.78"
"1497726137","SEATTLE GENETICS, INC.","ADCETRIS","Food and Beverage","2018","34.67"
"1295906832","ARBOR PHARMACEUTICALS, INC.","EDARBI","Food and Beverage","2016","35.12"
"1356450027","ASTRAZENECA PHARMACEUTICALS LP","SYMBICORT","Food and Beverage","2017","356.03"
"1255307880","OTSUKA AMERICA PHARMACEUTICAL, INC.","SAMSCA","Food and Beverage","2018","11.89"
"1699062505","STRYKER CORPORATION","TRIATHLON","Food and Beverage","2023","87.36"
"1437422953","GLAXOSMITHKLINE, LLC.","TRELEGY ELLIPTA","Food and Beverage","2023","125.23"
"1336144567","ABBVIE, INC.","","Food and Beverage","2021","13.87"
"1902829419","ARBOR PHARMACEUTICALS, INC.","EDARBYCLOR","Food and Beverage","2016","50.22"
"1386903821","ACELL, INC.","","Food and Beverage","2016","19.11"
"1962454967","MANNKIND CORPORATION","AFREZZA","Food and Beverage","2020","79.5"
"1114360831","ASTRAZENECA PHARMACEUTICALS LP","SYMBICORT","Food and Beverage","2018","6.71"
"1528080892","MERCK SHARP & DOHME CORPORATION","NUVARING","Food and Beverage","2017","26.75"
"1619101896","EISAI INC.","LENVIMA","Food and Beverage","2023","142"
"1609876861","NOVARTIS PHARMACEUTICALS CORPORATION","ENTRESTO","Food and Beverage","2020","82.86"
"1073740767","GLAUKOS CORPORATION","ISTENT TRABECULAR MICRO-BYPASS STENT SYSTEM","Travel and Lodging","2017","88.94"
"1376686006","LILLY USA, LLC","TALTZ","Food and Beverage","2023","24.84"
"1932129822","SHIRE NORTH AMERICAN GROUP INC","MYDAYIS","Food and Beverage","2017","13.1"
"1265567242","PFIZER INC.","IBRANCE","Food and Beverage","2019","12.1"
"1447369020","ASTRAZENECA PHARMACEUTICALS LP","FARXIGA","Food and Beverage","2020","47.35"
"1396774980","ORMCO CORPORATION","INSIGNIA","Food and Beverage","2016","73.33"
"1881678324","ABBVIE, INC.","MAVYRET","Food and Beverage","2020","59.1"
"1083674220","GLAXOSMITHKLINE, LLC.","TRELEGY ELLIPTA","Food and Beverage","2022","36.02"
"1124230958","ABBVIE, INC.","RINVOQ","Food and Beverage","2023","149.97"
"1447813555","ABBVIE, INC.","VRAYLAR","Food and Beverage","2021","134.75"
"1386606705","ABBOTT LABORATORIES","CRT LEADS","Food and Beverage","2017","114.47"
"1558326173","MYLAN PHARMACEUTICALS INC.","YUPELRI","Food and Beverage","2019","26.51"
"1912007725","ABBVIE, INC.","QULIPTA","Food and Beverage","2022","19.96"
"1396881876","ELI LILLY AND COMPANY","FORTEO","Food and Beverage","2017","13.78"
"1972555142","BAUSCH & LOMB AMERICAS INC.","XIPERE","Food and Beverage","2023","24.1"
"1497905913","NEURELIS, INC.","VALTOCO","Food and Beverage","2020","28.34"
"1518916535","MENTOR WORLDWIDE LLC","MEMORYGEL BREAST IMPLANTS","Food and Beverage","2020","33.29"
"1154716082","IMPULSE DYNAMICS (USA) INC.","OPTIMIZER","Food and Beverage","2023","61.62"
"1639403447","ASTRAZENECA PHARMACEUTICALS LP","BRILINTA","Food and Beverage","2016","91.87"
"1891764957","BOEHRINGER INGELHEIM PHARMACEUTICALS, INC.","JARDIANCE","Travel and Lodging","2018","33.48"
"1558308643","SHIRE NORTH AMERICAN GROUP INC","VYVANSE","Food and Beverage","2016","11.76"
"1104209980","CSL BEHRING","KCENTRA","Food and Beverage","2022","30.44"
"1417425257","G1 THERAPEUTICS, INC.","COSELA","Food and Beverage","2022","20.11"
"1659354215","ITI, INC.","CAPLYTA","Food and Beverage","2023","12.95"
"1700332111","ALEXION PHARMACEUTICALS, INC.","ANDEXXA","Food and Beverage","2021","25.72"
"1699192658","BIO-RAD LABORATORIES, INC.","NOT APPLICABLE","Speaking / Faculty Fee (Non-CME-related)","2017","4000"
"1508838939","BONE SUPPORT INC.","CERAMENTBONE VOID FILLER","Food and Beverage","2022","158.17"
"1548881659","BOSTON SCIENTIFIC CORPORATION","LITHOVUE","Food and Beverage","2022","15.91"
"1174506836","REGENERON PHARMACEUTICALS, INC.","PRALUENT (ALIROCUMAB) INJECTION","Speaking / Faculty Fee (Non-CME-related)","2016","5908.5"
"1497749006","NOVARTIS PHARMACEUTICALS CORPORATION","CIPRODEX","Food and Beverage","2019","12.5"
"1730115007","SANOFI-AVENTIS U.S. LLC","MULTAQ","Food and Beverage","2018","111.89"
"1346252426","SMITH & NEPHEW, INC.","GRAFIX PL","Food and Beverage","2020","18.93"
"1528223039","ABBVIE, INC.","QULIPTA","Food and Beverage","2022","65.06"
"1245762277","GILEAD SCIENCES, INC.","","Food and Beverage","2017","92.62"
"1245248293","ALLERGAN INC.","NAMENDA XR","Food and Beverage","2016","13.07"
"1437529385","NOVO NORDISK INC","OZEMPIC","Food and Beverage","2022","24.7"
"1366478398","KALEO, INC.","AUVI-Q","Food and Beverage","2018","18.7"
"1497964886","GENZYME CORPORATION","DUPIXENT","Food and Beverage","2023","233.47"
"1417177163","TULSA DENTAL PRODUCTS LLC","TRUSHAPE","Food and Beverage","2017","6.02"
"1598946741","LILLY USA, LLC","TRULICITY","Food and Beverage","2023","15.95"
"1750640447","JANSSEN PHARMACEUTICALS, INC","INVOKANA","Food and Beverage","2017","16.72"
"1194857524","ABIOMED","IMPELLA","Food and Beverage","2018","26.07"
"1124677190","TEVA PHARMACEUTICALS USA, INC.","","Food and Beverage","2022","19.69"
"1255536926","SANOFI-AVENTIS U.S. LLC","SOLIQUA 100/33","Food and Beverage","2021","35.09"
"1295736932","MEDACTA USA, INC.","MECTALIF","Food and Beverage","2018","103.34"
"1649690306","PUMA BIOTECHNOLOGY, INC.","","Food and Beverage","2023","15.27"
"1811937071","ABBVIE, INC.","BOTOX","Food and Beverage","2022","18.29"
"1659660140","PFIZER INC.","ELIQUIS","Food and Beverage","2021","46.95"
"1306843461","DAIICHI SANKYO INC.","MOVANTIK","Food and Beverage","2017","18.27"
"1427468164","NOVO NORDISK INC","RYBELSUS","Food and Beverage","2023","16.16"
"1124474903","ELI LILLY AND COMPANY","EMGALITY","Food and Beverage","2021","102.8"
"1023419884","NOVARTIS PHARMACEUTICALS CORPORATION","","Food and Beverage","2023","28.04"
"1427374339","ASTRAZENECA PHARMACEUTICALS LP","BRILINTA","Food and Beverage","2022","21.61"
"1285808048","NOVO NORDISK INC","XULTOPHY 100/3.6","Food and Beverage","2019","14.83"
"1164424479","DAIICHI SANKYO INC.","MORPHABOND ER","Food and Beverage","2017","16.25"
"1548745326","TEVA PHARMACEUTICALS USA, INC.","AJOVY","Food and Beverage","2021","12.15"
"1669032983","ABBVIE, INC.","UBRELVY","Food and Beverage","2023","57.39"
"1861916991","ABBVIE, INC.","LUMIGAN","Food and Beverage","2023","24.03"
"1699771972","GENZYME CORPORATION","LIBTAYO","Food and Beverage","2022","43.35"
"1699702324","MANNKIND CORPORATION","AFREZZA","Food and Beverage","2019","29.86"
"1437461225","BAYER HEALTHCARE PHARMACEUTICALS INC.","KYLEENA","Food and Beverage","2017","41.75"
"1386634749","BOEHRINGER INGELHEIM PHARMACEUTICALS, INC.","","Travel and Lodging","2016","1359.9"
"1306140132","ZIMMER BIOMET HOLDINGS, INC.","ALL T3 IMPLANTS","Food and Beverage","2021","76.58"
"1649387234","EMD SERONO, INC.","MAVENCLAD","Food and Beverage","2019","121.97"
"1578563177","NOVO NORDISK INC","SAXENDA","Food and Beverage","2020","41.47"
"1154386928","ABBVIE, INC.","RINVOQ","Food and Beverage","2023","22.43"
"1770563967","THERAVANCE BIOPHARMA INC.","VIBATIV","Speaking / Faculty Fee (Non-CME-related)","2018","4000"
"1447220074","ELI LILLY AND COMPANY","FORTEO","Food and Beverage","2018","80.65"
"1851821284","PFIZER INC.","CHANTIX","Food and Beverage","2017","25.400002"
"1699829630","BOSTON SCIENTIFIC CORPORATION","GENERAL - KIDNEY STONE DISEASE","Food and Beverage","2022","170"
"1679732929","ZIMMER BIOMET HOLDINGS, INC.","ROSA-KNEE","Food and Beverage","2021","138.14"
"1073663076","MERCK SHARP & DOHME CORPORATION","VYTORIN","Food and Beverage","2016","9.4"
"1790070886","ASTRAZENECA PHARMACEUTICALS LP","BRILINTA","Food and Beverage","2017","113.35"
"1265419444","BAYER HEALTHCARE PHARMACEUTICALS INC.","KYLEENA","Food and Beverage","2019","13.3"
"1184710881","TAKEDA PHARMACEUTICALS AMERICA, INC.","CONTRAVE","Food and Beverage","2016","8.66"
"1043578974","ABBOTT LABORATORIES","QUADRA ASSURA CRT DEFIBRILLATOR","Food and Beverage","2018","154.22"
"1659353696","PFIZER INC.","ELIQUIS","Food and Beverage","2020","14.27"
"1871519934","GE HEALTHCARE","","Food and Beverage","2018","250"
"1760587331","TAKEDA PHARMACEUTICALS AMERICA, INC.","TRINTELLIX","Food and Beverage","2016","16.39"
"1801222609","NOVO NORDISK INC","TRESIBA","Food and Beverage","2019","17.5"
"1043773989","PFIZER INC.","PREVNAR 13","Food and Beverage","2021","14.21"
"1730269556","INDIVIOR INC.","SUBOXONE SUBLINGUAL FILM","Food and Beverage","2016","35.33"
"1912104829","JANSSEN PHARMACEUTICALS, INC","SPRAVATO","Food and Beverage","2023","17.76"
"1497836902","EISAI INC.","FYCOMPA","Food and Beverage","2018","19.2"
"1144839549","NOVO NORDISK INC","OZEMPIC","Food and Beverage","2021","204.68"
"1255442232","ORTHO DERMATOLOGICS, A DIVISION OF BAUSCH HEALTH US, LLC","ONEXTON","Food and Beverage","2018","23.38"
"1467874719","ABBVIE, INC.","VRAYLAR","Food and Beverage","2022","35.49"
"1992815021","COVIDIEN LP","ENDO GIA","Food and Beverage","2017","123.11"
"1023337631","MENTOR WORLDWIDE LLC","ARTOURA BREAST TISSUE EXPANDER","Food and Beverage","2016","22.5"
"1770894776","JOHNSON & JOHNSON SURGICAL VISION, INC.","TECNIS 1-PIECE IOL","Food and Beverage","2019","74.49"
"1598101743","MEDTRONIC, INC.","KYPHON BALLOON KYPHOPLASTY","Food and Beverage","2019","190.69"
"1851496145","AMARIN PHARMA INC.","VASCEPA","Food and Beverage","2021","12.35"
"1427147446","PFIZER INC.","LYRICA","Food and Beverage","2016","30.16"
