"primary_type_2_npi","referring_type_2_npi","primary_type_2_npi_city","referring_type_2_npi_city","primary_type_2_npi_state","referring_type_2_npi_state","primary_type_2_npi_postal_code","referring_type_2_npi_postal_code","primary_type_2_npi_lat","referring_type_2_npi_lat","primary_type_2_npi_lng","referring_type_2_npi_lng","primary_type_2_npi_name","referring_type_2_npi_name","primary_hospital_name","referring_hospital_name","primary_type_1_npi","referring_type_1_npi","primary_type_1_npi_name","referring_type_1_npi_name","primary_specialty","referring_specialty","date","diagnosis_code","diagnosis_code_description","procedure_code","procedure_code_description","total_claim_charge","total_claim_line_charge","patient_count"
"1912952375","1093719932","SOUTHLAKE","SULPHUR","TEXAS","LOUISIANA","76092","70663","32.95998001098633","30.28965950012207","-97.14859008789062","-93.3795166015625","BYRAM HEALTHCARE CENTERS, INC.","CALCASIEU CAMERON HOSPITAL SERVICE DISTRICT","","West Calcasieu Cameron Hospital","0","1366997892","","CARISSA KEIR","","","2021-01-01","","","0","Electric breast pump","300","300","1"
"1063452829","1487771812","LAS VEGAS","LAS VEGAS","NEVADA","NEVADA","89119","89149","36.08475875854492","36.2722282409668","-115.1461410522461","-115.29252624511719","PREFERRED HOMECARE","CENTENNIAL HILLS HOSPITAL MEDICAL CENTER","","Centennial Hills Hospital Medical Center","0","1861459877","","CLARISSA GERVASIO","","","2021-08-01","","","0","Oximeter non-invasive","1000","475","1"
"1538144910","1790899524","BURLINGTON","BALTIMORE","NORTH CAROLINA","MARYLAND","27215","21220","36.03179168701172","39.34513854980469","-79.48890686035156","-76.39766693115234","LABORATORY CORPORATION OF AMERICA HOLDINGS","MEDSTAR HEALTH VISITING NURSE ASSOCIATION, INC.","","MedStar Franklin Square Medical Center","0","1144640269","","ALYSSA MATHEW","","","2021-03-01","","","82435","Chloride Bld","205","5.51","1"
"1962502229","0","NEW YORK","","NEW YORK","","10005","","40.70616149902344","0","-74.00907135009766","0","INTEGRA PARTNERS LLC","","","","0","1194303024","","GABRIELA WEIGEL","","","2022-10-01","","","0","Electric breast pump","188.24","188.24","1"
"0","0","","","","","","","0","0","0","0","","","","","0","1093823205","","CASSANDRA MARTIN","","","2022-10-01","","","0","Hhcp-svs of aide,ea 15 min","427.52","213.76","1"
"1265587000","1902826779","FARMINGDALE","BOCA RATON","NEW YORK","FLORIDA","11735","33486","40.731590270996094","26.34705924987793","-73.43270111083984","-80.11428833007812","APEX LABORATORY, INC.","BOCA RATON REGIONAL HOSPITAL, INC.","","Boca Raton Regional Hospital","0","1891717898","","STELLA CALOBRISI","","","2020-07-01","","","85025","Blood Count Complete Auto&Auto Difrntl Wbc","81.02","7.77","1"
"1962502229","1467469023","NEW YORK","BROOKLYN","NEW YORK","NEW YORK","10005","11206","40.70616149902344","40.70188903808594","-74.00907135009766","-73.94236755371094","INTEGRA PARTNERS LLC","NEW YORK CITY HEALTH AND HOSPITALS CORPORATION","","NYC Health + Hospitals Woodhull","0","1114432994","","TAHITI STARSHIP","","","2021-04-01","","","0","Electric breast pump","261.22","261.22","2"
"1609876929","0","SUTTER CREEK","","CALIFORNIA","","95685","","38.431068420410156","0","-120.76782989501953","0","AMERICAN LEGION AMBULANCE","","","","0","1609876929","","AMERICAN LEGION AMBULANCE","","","2022-11-01","","","0","Ambulance response/treatment","950","950","1"
"1174683056","0","CORONA","","NEW YORK","","11368","","40.74959182739258","0","-73.85260009765625","0","NORTH SHORE AMBULANCE&OXYGEN SERVICE INC","","","","0","1457350852","","NEW HYDE PARK DIALYSIS CENTER, LLC","","","2020-08-01","","","0","Ground mileage","81520","4670","2"
"1962502229","1679573083","NEW YORK","VALHALLA","NEW YORK","NEW YORK","10005","10595","40.70616149902344","41.08646011352539","-74.00907135009766","-73.78201293945312","INTEGRA PARTNERS LLC","BLYTHEDALE CHILDREN'S HOSPITAL","","Blythedale Children's Hospital","0","1639375587","","RUTH ALEJANDRO","","","2020-10-01","","","0","Wheelchair elevating leg res","13380.1","110.4","1"
